City,Violent,Nonviolent,Poverty-Families,Poverty-Individuals
"Charlottesville city, Virginia",1052.326195,5074.374934,12,25.9
"Chattanooga city, Tennessee",1791.25991,9991.482671,14,17.9
"Chelsea city, Massachusetts",1656.204561,3830.194702,20.6,23.3
"Chesapeake city, Virginia",0,0,6.1,7.3
"Chester city, Pennsylvania",2707.436328,4191.29631,22.8,27.2
"Chesterfield city, Missouri",75.15140798,2139.604792,1.8,2.6
"Cheyenne city, Wyoming",185.5220735,3744.663989,6.3,8.8
"Chico city, California",361.9363595,3540.190017,12.7,26.6
"Chicopee city, Massachusetts",0,2831.810368,9.6,12.3
"Chino city, California",383.2041191,2639.521809,6.3,8.3
"Chino Hills city, California",130.8705376,1552.223971,3.7,5.1
"Chula Vista city, California",501.9907553,3680.078799,8.6,10.6
"Cincinnati city, Ohio",800.2996255,5685.393258,18.2,21.9
"Citrus Heights city, California",0,0,5.6,8.3
"Claremont city, California",180.2156957,2711.683046,6,8
"Clarksville city, Tennessee",581.9101834,4252.420571,8.4,10.6
"Clearfield city, Utah",154.9896087,3015.252386,8.7,12.2
"Clearwater city, Florida",818.377059,4663.330085,8.4,12.3
"Cleburne city, Texas",333.8959419,6285.315917,10,13.5
"Cleveland city, Ohio",1193.963183,5246.046146,22.9,26.3
"Cleveland city, Tennessee",522.7503067,4630.074145,11.3,16.1
"Cleveland Heights city, Ohio",33.49834369,1533.479734,7.4,10.6
"Clifton city, New Jersey",281.3766995,2639.825035,4.3,6.3
"Clinton city, Iowa",0,0,10,12.5
"Clinton city, Mississippi",0,0,5.7,8
"Clovis city, California",142.9039269,4303.492215,7.6,10.6
"Clovis city, New Mexico",1366.20317,6038.61801,17.2,21
"Coconut Creek city, Florida",219.6475984,2442.674391,5.1,7.1
"Coeur d'Alene city, Idaho",615.0308952,6279.637879,9.3,12.8
"College Station city, Texas",210.7448415,3982.13387,15.4,37.4
"Collierville town, Tennessee",169.2301907,1714.865932,1.9,2.4
"Colorado Springs city, Colorado",462.0815752,4569.114317,6.1,8.7
"Colton city, California",456.0375405,3657.112643,18.2,19.6
"Columbia city, Missouri",454.0598291,3925.067988,9.4,19.2
"Columbia city, South Carolina",1332.871271,7523.614036,17,22.1
"Columbia city, Tennessee",1226.133652,5763.72315,10.9,13.9
